item,descrição,id,quantidade empenhada
1,289877 - CARNE IN NATURA,33175073,0
2,139270 - CARNE IN NATURA,33175083,0
3,281862 - BACON DEFUMADO,33175084,40
4,397621 - CARNE BOVINA IN NATURA,33175087,0
5,314397 - CARNE BOVINA IN NATURA,33175089,460
6,325660 - CARNE BOVINA IN NATURA,33175092,90
7,397623 - CARNE BOVINA IN NATURA,33175094,220
8,413101 - CHARQUE,33175097,15
9,296406 - CARNE BOVINA IN NATURA,33175099,405
10,250196 - CARNE BOVINA IN NATURA,33175101,4
11,241623 - CARNE BOVINA IN NATURA,33175104,770
12,216604 - CARNE IN NATURA,33175106,10
13,258245 - CARNE PORCO IN NATURA,33175108,0
14,373162 - CARNE PORCO IN NATURA,33175111,40
15,241664 - CARNE PORCO IN NATURA,33175113,0
16,250214 - CARNE IN NATURA,33175116,310
17,248014 - CARNE IN NATURA,33175117,410
18,238581 - CARNE BOVINA IN NATURA,33175118,0
19,242190 - CARNE FRANGO,33175119,700
20,325662 - CARNE FRANGO,33175120,580
21,382332 - LINGUIÇA,33175123,15
22,234365 - ALIMENTO CONGELADO CONSUMO HUMANO,33175126,5
23,254693 - CAMARÃO,33175128,0
24,255203 - PEIXE IN NATURA,33175130,0
25,402538 - PEIXE IN NATURA,33175131,0
26,240709 - AÇÚCAR,33175132,450
27,264030 - AÇÚCAR,33175133,13
28,236247 - AÇÚCAR,33175135,15
29,236197 - ADOÇANTE,33175137,10
30,74322 - AMÊNDOA IN NATURA,33175140,8
31,389763 - AMENDOIM TORRADO,33175142,7
32,217002 - AMIDO,33175143,22
33,434607 - ARROZ,33175144,0
34,244124 - ARROZ,33175145,304
35,217013 - AVEIA,33175146,70
36,217009 - AVEIA,33175147,8
37,216983 - AZEITE OLIVA,33175149,140
38,228909 - AZEITONA,33175151,2
39,228906 - AZEITONA,33175154,2
40,422865 - BEBIDA ALCOÓLICA,33175156,11
41,305869 - BEBIDA ALCOÓLICA,33175157,2
42,232141 - BISCOITO,33175158,10
43,232144 - BISCOITO,33175160,10
44,229180 - BISCOITO,33175163,30
45,389169 - BISCOITO,33175165,30
46,316056 - BISCOITO,33175168,10
47,217366 - CAFÉ,33175170,280
48,217371 - CAFÉ,33175171,9
49,389677 - CASTANHA PARA ALIMENTACAO,33175173,4
50,217362 - CHOCOLATE,33175176,40
51,433270 - CHOCOLATE PÓ,33175178,22
52,237917 - CÔCO SECO,33175180,10
53,226326 - CONDIMENTO,33175183,0
54,232170 - CREME DE LEITE,33175185,44
55,273082 - DOCE FRUTA,33175188,10
56,368536 - DOCE EM TABLETE,33175190,10
57,380095 - ESSÊNCIA AROMÁTICA,33175193,20
58,346922 - EXTRATO ALIMENTÍCIO,33175195,0
59,114529 - ERVILHA EM CONSERVA,33175196,1
60,338857 - FARINHA ARROZ,33175198,0
61,217201 - FARINHA MANDIOCA,33175201,640
62,217200 - FARINHA MANDIOCA,33175203,320
63,217204 - FARINHA MILHO,33175205,500
64,280730 - FARINHA QUIBE,33175207,8
65,244023 - FARINHA TRIGO,33175209,260
66,278815 - FARINHA TRIGO,33175212,0
67,5835 - RAIZ - ALIMENTO,33175214,5
68,259722 - FEIJÃO,33175215,60
69,233587 - FEIJÃO,33175218,1000
70,301845 - FEIJÃO,33175220,60
71,217213 - FEIJÃO,33175223,210
72,227161 - FERMENTO,33175225,300
73,229197 - FERMENTO,33175228,166
74,241566 - FUBÁ,33175231,80
75,235919 - GELATINA ALIMENTÍCIA,33175234,50
76,235920 - GELATINA ALIMENTÍCIA,33175236,0
77,235921 - GELATINA ALIMENTÍCIA,33175239,50
78,273995 - GELATINA ALIMENTÍCIA,33175242,38
79,109231 - GRÃO DE BICO,33175246,16
80,241604 - LEITE CÔCO,33175250,12
81,223050 - LEITE CONDENSADO,33175254,40
82,216698 - LEITE EM PÓ,33175258,100
83,324662 - LEITE,33175262,1010
84,259668 - MACARRÃO,33175266,60
85,229048 - MASSA LASANHA,33175270,0
86,217235 - MACARRÃO,33175273,30
87,217236 - MACARRÃO,33175276,30
88,326927 - MAIONESE,33175278,10
89,6467 - MEL ABELHA,33175282,4
90,258157 - MILHO EM CONSERVA,33175285,6
91,227214 - CANJICA,33175290,34
92,227213 - CANJICA,33175292,34
93,217258 - MILHO PIPOCA,33175295,30
94,380634 - MOLHO TOMATE,33175299,24
95,228769 - MOLHO SHOYO,33175302,6
96,258149 - MOLHO ALIMENTÍCIO,33175307,17
97,308763 - ÓLEO VEGETAL COMESTÍVEL,33175309,16
98,259792 - ÓLEO VEGETAL COMESTÍVEL,33175312,7
99,244365 - ÓLEO VEGETAL COMESTÍVEL,33175315,32
100,218011 - ÓLEO VEGETAL COMESTÍVEL,33175317,460
101,217119 - PEIXE CONSERVA,33175319,820
102,68012 - POLVILHO AZEDO,33175322,46
103,217277 - POLVILHO DOCE,33175324,46
104,216911 - SAL,33175328,90
105,223055 - LEGUME EM CONSERVA,33175331,12
106,381379 - VINAGRE,33175336,10
107,340581 - VINAGRE,33175339,80
108,217093 - VINAGRE,33175342,52
109,217092 - VINAGRE,33175345,52
110,226447 - VINHO,33175348,52
111,226435 - VINHO,33175353,52
112,238097 - CONDIMENTO,33175356,0
113,235804 - CONDIMENTO,33175361,0
114,125687 - ERVAS,33175365,0
115,125687 - ERVAS,33175368,0
116,125687 - ERVAS,33175373,0
117,340580 - CONDIMENTO,33175377,0
118,236194 - CONDIMENTO,33175381,0
119,235805 - CONDIMENTO,33175385,0
120,218083 - CONDIMENTO,33175389,0
121,125687 - ERVAS,33175394,0
122,279604 - CONDIMENTO,33175397,0
123,233807 - CONDIMENTO,33175402,0
124,150988 - TEMPERO,33175406,0
125,271052 - BICARBONATO DE SÓDIO,33175409,0
126,258081 - CONDIMENTO,33175411,0
127,327858 - CONDIMENTO,33175414,0
128,150988 - TEMPERO,33175418,0
129,150988 - TEMPERO,33175421,0
130,218090 - CONDIMENTO,33175425,0
131,66346 - CONDIMENTO,33175428,0
132,215955 - CÚRCUMA,33175430,0
133,150988 - TEMPERO,33175433,0
134,150988 - TEMPERO,33175435,0
135,150988 - TEMPERO,33175438,0
136,235806 - CONDIMENTO,33175441,0
137,337461 - CONDIMENTO,33175443,0
138,337460 - CONDIMENTO,33175446,0
139,233597 - PIMENTA DO REINO,33175448,0
140,150988 - TEMPERO,33175451,0
141,418257 - PIMENTA DO REINO,33175454,0
142,373817 - PIMENTA DO REINO,33175456,0
143,150988 - TEMPERO,33175458,0
144,6114 - NOZ,33175461,0
145,373203 - SEMENTE,33175463,0
146,373203 - SEMENTE,33175465,0
147,245275 - SEMENTE,33175468,0
148,150988 - TEMPERO,33175471,0
149,150988 - TEMPERO,33175473,0
150,96563 - ABÓBORA IN-NATURA,33175476,0
151,258258 - CONDIMENTO,33175478,0
152,233871 - CEBOLA IN NATURA,33175480,0
153,233872 - CEBOLA IN NATURA,33175483,0
154,97217 - CHEIRO VERDE IN NATURA,33175485,0
155,225895 - CHUCHU IN NATURA,33175488,0
156,241677 - COUVE IN - NATURA,33175489,0
157,224408 - FRUTA IN NATURA,33175490,0
158,308741 - CÔCO SECO,33175492,0
159,250001 - FRUTA IN NATURA,33175494,0
160,332506 - FRUTA IN NATURA,33175497,0
161,224429 - FRUTA IN NATURA,33175499,0
162,232704 - FRUTA IN NATURA,33175502,0
163,247461 - FRUTA IN NATURA,33175504,0
164,223047 - FRUTA EM CALDA,33175507,0
165,301511 - FRUTA IN NATURA,33175509,0
166,224387 - FRUTA IN NATURA,33175512,0
167,224419 - FRUTA IN NATURA,33175514,0
168,274417 - FRUTA IN NATURA,33175516,0
169,382517 - FRUTA IN NATURA,33175518,0
170,256201 - FRUTA IN NATURA,33175521,0
171,224416 - FRUTA IN NATURA,33175523,0
172,224411 - FRUTA IN NATURA,33175526,0
173,224390 - FRUTA IN NATURA,33175528,0
174,224423 - FRUTA IN NATURA,33175531,0
175,227826 - FRUTA IN NATURA,33175533,0
176,256199 - FRUTA IN NATURA,33175536,0
177,228725 - LEGUME IN NATURA,33175538,0
178,226259 - LEGUME IN NATURA,33175541,0
179,233255 - LEGUME IN NATURA,33175543,0
180,284647 - LEGUME IN NATURA,33175545,0
181,226261 - LEGUME IN NATURA,33175548,0
182,226263 - LEGUME IN NATURA,33175550,0
183,226265 - LEGUME IN NATURA,33175552,0
184,228448 - LEGUME IN NATURA,33175553,0
185,228764 - LEGUME IN NATURA,33175554,0
186,228762 - LEGUME IN NATURA,33175555,0
187,228763 - LEGUME IN NATURA,33175556,0
188,228756 - LEGUME IN NATURA,33175557,0
189,228766 - LEGUME IN NATURA,33175558,0
190,246125 - MILHO VERDE IN - NATURA,33175559,0
191,109223 - UVA PASSA,33175560,0
192,96628 - ACELGA IN - NATURA,33175561,0
193,226224 - VERDURA IN NATURA,33175562,0
194,97276 - ALHO PORRO IN - NATURA,33175563,0
195,226242 - VERDURA IN NATURA,33175564,0
196,97225 - MANJERICÃO IN - NATURA,33175565,0
197,231826 - VERDURA IN NATURA,33175566,0
198,231825 - VERDURA IN NATURA,33175567,0
199,226253 - VERDURA IN NATURA,33175568,0
200,226254 - VERDURA IN NATURA,33175569,0
201,5835 - RAIZ - ALIMENTO,33175570,0
202,273259 - VERDURA IN NATURA,33175571,0
203,96563 - ABÓBORA IN-NATURA,33175572,697
204,241677 - COUVE IN - NATURA,33175573,700
205,390240 - SEMENTE,33175574,150
206,373208 - FEIJÃO,33175575,40
207,243155 - FRUTA IN NATURA,33175576,220
208,232704 - FRUTA IN NATURA,33175577,120
209,361643 - FRUTA IN NATURA,33175578,200
210,250033 - FRUTA IN NATURA,33175579,30
211,224419 - FRUTA IN NATURA,33175580,250
212,229331 - FRUTA IN NATURA,33175581,290
213,224400 - FRUTA IN NATURA,33175582,90
214,224416 - FRUTA IN NATURA,33175583,250
215,224411 - FRUTA IN NATURA,33175584,200
216,224390 - FRUTA IN NATURA,33175585,100
217,227826 - FRUTA IN NATURA,33175586,0
218,418238 - FRUTA IN NATURA,33175587,40
219,228725 - LEGUME IN NATURA,33175588,75
220,226259 - LEGUME IN NATURA,33175589,160
221,284647 - LEGUME IN NATURA,33175590,60
222,226261 - LEGUME IN NATURA,33175591,60
223,226263 - LEGUME IN NATURA,33175592,0
224,226270 - LEGUME IN NATURA,33175593,200
225,228448 - LEGUME IN NATURA,33175594,50
226,228762 - LEGUME IN NATURA,33175595,344
227,228763 - LEGUME IN NATURA,33175596,10
228,226274 - LEGUME IN NATURA,33175597,144
229,228756 - LEGUME IN NATURA,33175598,237
230,228754 - LEGUME IN NATURA,33175599,750
231,246125 - MILHO VERDE IN - NATURA,33175600,0
232,373203 - SEMENTE,33175601,60
233,5835 - RAIZ - ALIMENTO,33175602,100
234,226224 - VERDURA IN NATURA,33175603,900
235,97276 - ALHO PORRO IN - NATURA,33175604,30
236,226230 - VERDURA IN NATURA,33175605,500
237,226233 - VERDURA IN NATURA,33175606,500
238,226252 - VERDURA IN NATURA,33175607,684
239,226253 - VERDURA IN NATURA,33175608,500
240,339482 - BEBIDA LÁCTEA,33175609,1200
241,5711 - CREME DE LEITE,33175610,72
242,241285 - FARINHA DE ROSCA,33175611,8
243,389271 - FARINHA MANDIOCA,33175612,130
244,304283 - IOGURTE,33175613,72
245,389133 - MANTEIGA,33175614,500
246,269685 - MANTEIGA,33175615,100
247,227410 - MARGARINA,33175616,10
248,274427 - OVO,33175617,210
249,216789 - OVO,33175618,10
250,347030 - PÃO,33175619,15
251,236792 - PÃO,33175620,106
252,103098 - FRUTA - CONCENTRADO / POLPA,33175621,3
253,217796 - SUCO,33175622,3
254,241598 - SUCO,33175623,3
255,217794 - SUCO,33175624,43
256,259679 - SUCO,33175625,43
257,376111 - PRESUNTO,33175626,2
258,317245 - PRESUNTO,33175627,41
259,231837 - QUEIJO,33175628,21
260,320101 - QUEIJO,33175629,5
261,407334 - QUEIJO,33175630,44
262,5681 - QUEIJO,33175631,44
263,216793 - REQUEIJÃO,33175632,92
264,216774 - RICOTA,33175633,14
265,304428 - SALAME,33175634,3
266,226699 - ÁGUA SANITÁRIA,33175635,200
267,269941 - ÁLCOOL ETÍLICO,33175636,200
268,269943 - ÁLCOOL ETÍLICO,33175637,0
269,388801 - DESINFETANTE,33175638,60
270,251594 - DETERGENTE ÁCIDO,33175639,300
271,255601 - DETERGENTE,33175640,480
272,241343 - FÓSFORO,33175641,100
273,332971 - SABÃO PÓ,33175642,150
274,422221 - SABONETE,33175643,60
275,102407 - SABAO LIQUIDO,33175644,15
276,310970 - TALHER DESCARTÁVEL,33175645,10
277,226344 - COPO DESCARTÁVEL,33175646,30
278,226342 - COPO DESCARTÁVEL,33175647,100
279,225796 - COPO,33175648,50
280,232730 - COPO DESCARTÁVEL,33175649,50
281,310969 - TALHER DESCARTÁVEL,33175650,0
282,320167 - TALHER DESCARTÁVEL,33175651,20
283,292281 - GUARDANAPO DE PAPEL,33175652,650
284,304173 - LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,33175653,30
285,416061 - LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,33175654,70
286,405575 - LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,33175655,30
287,375837 - LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,33175656,0
288,423464 - LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,33175657,0
289,397749 - MÁSCARA DESCARTÁVEL USO GERAL,33175658,10
290,293875 - PALITO,33175659,0
291,221317 - PALITO,33175660,10
292,221390 - PAPEL ALUMÍNIO,33175661,50
293,426598 - PAPEL FILME,33175662,10
294,234154 - TOALHA DE PAPEL,33175663,300
295,303248 - PRATO,33175664,30
296,435573 - PRATO,33175665,30
297,364463 - PRATO,33175666,50
298,372768 - PRATO,33175667,50
299,150577 - SACO,33175668,100
300,228525 - SACO PLÁSTICO LIXO,33175669,10
301,233909 - SACO PLÁSTICO LIXO,33175670,10
302,313359 - SACO,33175671,3
303,395470 - SACO,33175672,0
304,369561 - TOUCA,33175673,10
305,343299 - HIPOCLORITO DE SÓDIO,33175674,10
306,290545 - AVENTAL,33175675,6
307,400963 - AVENTAL,33175676,10
308,240136 - AVENTAL,33175677,10
309,368379 - ESCOVA,33175678,30
310,380189 - ESPONJA LIMPEZA,33175679,200
311,283237 - ESPONJA LIMPEZA,33175680,500
312,389924 - LUVA DE PROTEÇÃO,33175681,2
313,371135 - PÁ COLETORA LIXO,33175682,10
314,352424 - PANO LIMPEZA,33175683,0
315,137057 - PANO LIMPEZA,33175684,15
316,30228 - RODO,33175685,0
317,220583 - BOTIJÃO GÁS LIQUEFEITO DE PETRÓLEO - GLP,33175686,80
318,233976 - BOTIJÃO GÁS LIQUEFEITO DE PETRÓLEO - GLP,33175687,0
319,332485 - ÁGUA MINERAL,33175688,1000
320,418257 - PIMENTA DO REINO,33175689,14
321,232597 - PÃO,33175690,250
322,259662 - PÃO,33175691,250
323,352392 - LUVA BORRACHA,33175692,0
324,333265 - LUVA BORRACHA,33175693,0
